interaction_id,customer_id,interaction_type,interaction_date,channel,duration_minutes,resolution_status,satisfaction_score
INT_005633,CUST_002055,Email Inquiry,2025-03-03,Phone,24,Resolved,10
INT_005634,CUST_005110,Chat Session,2024-02-20,Email,6,Pending,6
INT_005635,CUST_001311,Complaint,2024-01-06,Email,57,Resolved,8
INT_005636,CUST_005071,Return Request,2024-06-05,Email,19,Resolved,7
INT_005637,CUST_004210,Return Request,2023-07-22,Phone,13,Closed,4
INT_005638,CUST_009642,Complaint,2023-12-09,Phone,35,Resolved,4
INT_005639,CUST_000939,Product Question,2024-05-24,In-Store,28,Resolved,7
INT_005640,CUST_008364,Return Request,2024-09-26,Email,20,Resolved,3
INT_005641,CUST_007359,Product Question,2024-03-30,Phone,26,Resolved,6
INT_005642,CUST_004905,Billing Issue,2025-06-25,In-Store,43,Resolved,6
INT_005643,CUST_007670,Product Question,2024-01-12,Email,27,Pending,3
INT_005644,CUST_004579,Complaint,2024-07-11,Chat,28,Resolved,3
INT_005645,CUST_007512,Chat Session,2025-03-17,Social Media,10,Pending,8
INT_005646,CUST_009621,Complaint,2024-12-26,Email,36,Resolved,2
INT_005647,CUST_000755,Email Inquiry,2024-12-19,Chat,22,Closed,8
INT_005648,CUST_001937,Complaint,2025-02-26,Phone,19,Resolved,5
INT_005649,CUST_000425,Complaint,2023-08-13,Chat,54,Resolved,3
INT_005650,CUST_007990,Support Call,2024-12-12,Email,48,Pending,7
INT_005651,CUST_003876,Complaint,2023-12-20,Email,33,Resolved,4
INT_005652,CUST_004638,Feedback,2025-03-28,Email,10,Escalated,3
INT_005653,CUST_009233,Email Inquiry,2025-06-06,In-Store,10,Resolved,9
INT_005654,CUST_009520,Email Inquiry,2025-01-08,Phone,14,Resolved,9
INT_005655,CUST_004627,Feedback,2024-11-07,Phone,20,Pending,7
INT_005656,CUST_005679,Product Question,2024-11-05,Phone,18,Pending,8
INT_005657,CUST_007452,Product Question,2024-11-03,Chat,26,Resolved,8
INT_005658,CUST_009694,Email Inquiry,2024-01-16,Phone,8,Resolved,6
INT_005659,CUST_009290,Chat Session,2024-11-24,In-Store,21,Escalated,8
INT_005660,CUST_007463,Support Call,2023-09-21,Email,44,Resolved,7
INT_005661,CUST_001174,Feedback,2025-03-01,Email,9,Resolved,9
INT_005662,CUST_005326,Return Request,2025-04-24,In-Store,18,Resolved,7
INT_005663,CUST_008165,Return Request,2023-08-17,Phone,12,Pending,7
INT_005664,CUST_006376,Return Request,2024-11-03,Chat,17,Escalated,7
INT_005665,CUST_001683,Return Request,2023-10-08,Phone,25,Resolved,6
INT_005666,CUST_009879,Return Request,2024-09-19,Email,18,Escalated,6
INT_005667,CUST_000574,Billing Issue,2024-08-31,Chat,54,Pending,1
INT_005668,CUST_000387,Feedback,2025-04-30,Chat,5,Resolved,6
INT_005669,CUST_006365,Email Inquiry,2024-04-16,Email,8,Resolved,8
INT_005670,CUST_001056,Feedback,2023-07-28,Email,14,Resolved,8
INT_005671,CUST_008525,Billing Issue,2024-07-12,In-Store,57,Resolved,3
INT_005672,CUST_001993,Complaint,2025-06-10,Email,18,Resolved,7
INT_005673,CUST_009430,Chat Session,2024-02-06,Social Media,19,Resolved,6
INT_005674,CUST_006525,Support Call,2025-02-10,Chat,52,Resolved,2
INT_005675,CUST_008785,Feedback,2024-06-11,Phone,10,Resolved,7
INT_005676,CUST_003791,Email Inquiry,2023-12-14,Phone,14,Resolved,8
INT_005677,CUST_004000,Billing Issue,2024-04-19,Phone,42,Resolved,6
INT_005678,CUST_002554,Billing Issue,2025-06-02,Phone,56,Pending,3
INT_005679,CUST_000547,Return Request,2023-08-02,In-Store,19,Pending,4
INT_005680,CUST_008348,Chat Session,2024-10-21,Chat,14,Resolved,10
INT_005681,CUST_000753,Product Question,2025-06-10,Chat,21,Resolved,7
INT_005682,CUST_007967,Email Inquiry,2025-05-14,In-Store,6,Resolved,5
INT_005683,CUST_004983,Complaint,2025-04-28,Phone,15,Resolved,5
INT_005684,CUST_009627,Billing Issue,2023-09-16,Email,36,Closed,2
INT_005685,CUST_004944,Complaint,2024-10-31,Email,27,Resolved,7
INT_005686,CUST_004275,Email Inquiry,2024-05-10,Phone,13,Resolved,7
INT_005687,CUST_004430,Support Call,2025-01-27,Chat,15,Resolved,7
INT_005688,CUST_007166,Product Question,2024-07-09,Chat,22,Escalated,5
INT_005689,CUST_001190,Complaint,2024-09-10,Phone,58,Resolved,8
INT_005690,CUST_003877,Feedback,2024-12-11,In-Store,18,Pending,9
INT_005691,CUST_000160,Product Question,2023-08-22,Phone,29,Pending,4
INT_005692,CUST_003333,Feedback,2024-02-13,In-Store,20,Closed,6
INT_005693,CUST_008289,Product Question,2025-05-12,Chat,17,Escalated,5
INT_005694,CUST_007346,Return Request,2025-04-08,Email,16,Resolved,5
INT_005695,CUST_000414,Support Call,2025-04-27,Email,43,Resolved,4
INT_005696,CUST_005182,Return Request,2025-06-14,Phone,27,Resolved,4
INT_005697,CUST_005041,Feedback,2023-08-13,Phone,13,Resolved,7
INT_005698,CUST_006894,Billing Issue,2024-06-02,Chat,56,Resolved,5
INT_005699,CUST_003968,Feedback,2025-05-04,Chat,8,Escalated,6
INT_005700,CUST_003397,Support Call,2025-06-04,Phone,35,Pending,5
INT_005701,CUST_003364,Email Inquiry,2024-10-15,Email,23,Resolved,7
INT_005702,CUST_004643,Product Question,2024-05-22,Email,21,Resolved,3
INT_005703,CUST_003663,Chat Session,2023-11-08,Email,21,Resolved,6
INT_005704,CUST_004144,Chat Session,2025-05-04,Email,22,Resolved,5
INT_005705,CUST_001817,Chat Session,2025-03-14,Chat,5,Resolved,8
INT_005706,CUST_003220,Return Request,2023-12-15,Phone,13,Pending,4
INT_005707,CUST_001368,Chat Session,2025-02-12,Phone,18,Resolved,5
INT_005708,CUST_006389,Product Question,2023-09-28,Chat,16,Resolved,4
INT_005709,CUST_008630,Complaint,2025-02-01,Phone,40,Closed,5
INT_005710,CUST_008302,Return Request,2023-12-13,In-Store,11,Closed,6
INT_005711,CUST_005003,Billing Issue,2024-09-17,In-Store,41,Closed,6
INT_005712,CUST_005927,Return Request,2023-10-25,In-Store,25,Resolved,4
INT_005713,CUST_008861,Billing Issue,2024-10-02,Chat,31,Resolved,3
INT_005714,CUST_008689,Product Question,2024-05-31,Phone,10,Resolved,7
INT_005715,CUST_001889,Product Question,2024-06-04,Phone,18,Resolved,7
INT_005716,CUST_004561,Feedback,2024-10-18,Phone,23,Closed,8
INT_005717,CUST_009392,Email Inquiry,2024-03-24,In-Store,8,Pending,7
INT_005718,CUST_008980,Product Question,2025-03-24,Chat,27,Escalated,5
INT_005719,CUST_005650,Feedback,2024-01-25,Chat,15,Resolved,9
INT_005720,CUST_007071,Support Call,2025-04-18,Phone,42,Resolved,1
INT_005721,CUST_002001,Feedback,2025-04-27,In-Store,7,Closed,6
INT_005722,CUST_002968,Billing Issue,2025-06-13,Social Media,41,Resolved,8
INT_005723,CUST_005090,Complaint,2024-09-26,Phone,35,Resolved,7
INT_005724,CUST_002550,Complaint,2023-12-09,Chat,29,Closed,5
INT_005725,CUST_000414,Feedback,2025-02-03,Phone,6,Closed,5
INT_005726,CUST_003023,Support Call,2024-11-14,Phone,40,Resolved,2
INT_005727,CUST_004805,Billing Issue,2023-10-27,Email,36,Resolved,7
INT_005728,CUST_008010,Support Call,2024-01-02,In-Store,42,Escalated,1
INT_005729,CUST_005225,Support Call,2025-04-23,Phone,26,Resolved,2
INT_005730,CUST_007938,Complaint,2025-06-17,Email,44,Resolved,1
INT_005731,CUST_004253,Chat Session,2023-12-27,Email,13,Escalated,6
INT_005732,CUST_009989,Chat Session,2024-10-09,In-Store,15,Resolved,9
INT_005733,CUST_003877,Email Inquiry,2025-02-07,Chat,11,Resolved,8
INT_005734,CUST_009434,Feedback,2024-08-14,Phone,12,Resolved,6
INT_005735,CUST_008274,Support Call,2024-07-09,Phone,45,Resolved,4
INT_005736,CUST_008329,Product Question,2025-01-16,Email,28,Resolved,9
INT_005737,CUST_001059,Return Request,2025-06-05,Phone,24,Resolved,4
INT_005738,CUST_001230,Product Question,2025-05-27,Phone,24,Closed,3
INT_005739,CUST_006819,Email Inquiry,2024-11-24,Email,17,Resolved,10
INT_005740,CUST_003231,Return Request,2023-09-12,Phone,14,Pending,2
INT_005741,CUST_008549,Product Question,2025-04-21,Phone,21,Resolved,4
INT_005742,CUST_002657,Support Call,2025-04-08,Phone,58,Escalated,1
INT_005743,CUST_007513,Complaint,2025-06-13,Chat,51,Pending,3
INT_005744,CUST_004504,Support Call,2024-03-15,Chat,27,Pending,3
INT_005745,CUST_002924,Feedback,2024-11-30,Social Media,24,Closed,7
INT_005746,CUST_002538,Billing Issue,2024-09-18,Phone,17,Escalated,6
INT_005747,CUST_008209,Support Call,2025-06-12,Phone,27,Resolved,3
INT_005748,CUST_009206,Billing Issue,2025-06-09,Email,15,Resolved,7
INT_005749,CUST_002703,Feedback,2024-09-19,In-Store,9,Escalated,4
INT_005750,CUST_001882,Support Call,2025-06-08,In-Store,48,Escalated,3
INT_005751,CUST_007824,Complaint,2024-10-05,Email,17,Resolved,4
INT_005752,CUST_004096,Feedback,2025-05-12,In-Store,7,Resolved,7
INT_005753,CUST_000959,Support Call,2025-06-08,Phone,16,Resolved,2
INT_005754,CUST_007462,Feedback,2024-06-27,Phone,14,Resolved,7
INT_005755,CUST_002889,Support Call,2024-11-22,In-Store,18,Resolved,2
INT_005756,CUST_002952,Return Request,2024-02-02,Phone,28,Closed,4
INT_005757,CUST_002391,Complaint,2025-06-02,Phone,43,Pending,2
INT_005758,CUST_008812,Billing Issue,2024-04-07,Chat,25,Closed,6
INT_005759,CUST_001269,Product Question,2025-04-17,Chat,11,Resolved,8
INT_005760,CUST_006938,Chat Session,2025-01-08,Chat,13,Resolved,9
INT_005761,CUST_006809,Billing Issue,2025-01-22,Chat,43,Resolved,4
INT_005762,CUST_008053,Feedback,2025-03-04,In-Store,15,Resolved,8
INT_005763,CUST_006650,Email Inquiry,2024-06-14,Phone,24,Resolved,6
INT_005764,CUST_005860,Support Call,2024-01-29,Chat,45,Resolved,6
INT_005765,CUST_000817,Email Inquiry,2024-08-06,Phone,10,Pending,8
INT_005766,CUST_008350,Billing Issue,2023-07-05,Phone,45,Resolved,1
INT_005767,CUST_008196,Feedback,2024-04-13,Phone,16,Resolved,6
INT_005768,CUST_009850,Email Inquiry,2025-05-22,Phone,6,Resolved,5
INT_005769,CUST_004303,Product Question,2024-12-20,Chat,16,Resolved,8
INT_005770,CUST_004459,Product Question,2025-01-21,Phone,25,Closed,7
INT_005771,CUST_004594,Complaint,2025-01-28,In-Store,17,Closed,7
INT_005772,CUST_007245,Complaint,2024-10-02,In-Store,27,Resolved,6
INT_005773,CUST_009468,Complaint,2024-09-25,Social Media,45,Resolved,2
INT_005774,CUST_005350,Email Inquiry,2024-11-30,Chat,13,Escalated,8
INT_005775,CUST_002847,Complaint,2024-09-29,Email,48,Resolved,4
INT_005776,CUST_005331,Support Call,2025-03-17,Email,40,Pending,7
INT_005777,CUST_002988,Support Call,2025-06-12,Email,33,Pending,1
INT_005778,CUST_006840,Feedback,2024-10-14,Phone,11,Pending,8
INT_005779,CUST_006201,Email Inquiry,2024-08-11,In-Store,19,Resolved,5
INT_005780,CUST_000463,Billing Issue,2025-06-01,Chat,28,Pending,7
INT_005781,CUST_009021,Product Question,2024-04-18,Phone,16,Pending,6
INT_005782,CUST_006368,Support Call,2024-02-23,Email,59,Escalated,1
INT_005783,CUST_000651,Return Request,2024-08-05,Email,12,Resolved,9
INT_005784,CUST_002626,Email Inquiry,2024-08-26,Phone,5,Resolved,9
INT_005785,CUST_000546,Return Request,2024-01-18,In-Store,15,Resolved,6
INT_005786,CUST_006715,Complaint,2024-07-22,Chat,35,Resolved,1
INT_005787,CUST_005173,Return Request,2025-06-13,Phone,15,Pending,8
INT_005788,CUST_005095,Billing Issue,2024-04-11,Phone,22,Resolved,3
INT_005789,CUST_005081,Feedback,2025-02-22,Phone,10,Resolved,5
INT_005790,CUST_008279,Complaint,2024-10-07,Email,54,Resolved,5
INT_005791,CUST_003618,Feedback,2024-04-22,Phone,10,Resolved,5
INT_005792,CUST_001303,Billing Issue,2025-04-28,Phone,22,Resolved,1
INT_005793,CUST_005978,Support Call,2025-01-01,Phone,37,Resolved,5
INT_005794,CUST_001891,Support Call,2024-12-16,In-Store,19,Resolved,4
INT_005795,CUST_000647,Product Question,2024-03-30,Email,24,Resolved,6
INT_005796,CUST_007943,Feedback,2024-09-21,Email,20,Resolved,7
INT_005797,CUST_000219,Return Request,2025-05-06,In-Store,18,Resolved,3
INT_005798,CUST_002093,Complaint,2025-02-25,Phone,37,Escalated,5
INT_005799,CUST_006653,Complaint,2025-06-29,Chat,29,Resolved,2
INT_005800,CUST_005303,Chat Session,2025-05-09,In-Store,22,Resolved,7
INT_005801,CUST_007690,Billing Issue,2024-11-03,Phone,42,Pending,4
INT_005802,CUST_002995,Email Inquiry,2025-06-13,Phone,5,Pending,8
INT_005803,CUST_003006,Billing Issue,2024-01-21,In-Store,40,Resolved,4
INT_005804,CUST_008656,Chat Session,2024-12-26,Phone,10,Escalated,4
INT_005805,CUST_009419,Billing Issue,2024-02-20,Email,29,Resolved,2
INT_005806,CUST_006634,Support Call,2024-03-21,Email,35,Resolved,6
INT_005807,CUST_008613,Email Inquiry,2024-10-25,In-Store,23,Pending,4
INT_005808,CUST_002578,Product Question,2025-05-10,Email,12,Resolved,7
INT_005809,CUST_006156,Return Request,2025-01-25,Phone,12,Resolved,8
INT_005810,CUST_002896,Support Call,2025-06-14,Chat,20,Resolved,6
INT_005811,CUST_007530,Email Inquiry,2024-07-28,In-Store,23,Escalated,5
INT_005812,CUST_008362,Chat Session,2025-05-12,Chat,24,Resolved,5
INT_005813,CUST_007350,Email Inquiry,2025-01-03,In-Store,16,Resolved,6
INT_005814,CUST_007007,Feedback,2025-04-24,Phone,8,Resolved,6
INT_005815,CUST_008505,Feedback,2024-06-30,Phone,5,Pending,7
INT_005816,CUST_001224,Email Inquiry,2024-03-16,Email,15,Resolved,9
INT_005817,CUST_006303,Chat Session,2024-10-24,Social Media,18,Resolved,8
INT_005818,CUST_009297,Email Inquiry,2025-03-07,In-Store,22,Resolved,9
INT_005819,CUST_003020,Complaint,2025-03-08,Email,41,Resolved,4
INT_005820,CUST_003333,Product Question,2025-03-08,Phone,24,Resolved,3
INT_005821,CUST_005810,Chat Session,2025-02-07,Phone,22,Closed,5
INT_005822,CUST_004052,Product Question,2024-04-30,Email,20,Resolved,9
INT_005823,CUST_007335,Billing Issue,2024-05-17,Email,23,Resolved,7
INT_005824,CUST_007805,Chat Session,2024-12-22,Email,20,Resolved,10
INT_005825,CUST_000140,Return Request,2025-06-23,Chat,26,Resolved,9
INT_005826,CUST_003599,Email Inquiry,2024-12-03,Email,23,Resolved,7
INT_005827,CUST_000268,Return Request,2025-05-27,Chat,18,Resolved,5
INT_005828,CUST_007907,Product Question,2025-05-28,In-Store,15,Resolved,5
INT_005829,CUST_007662,Complaint,2025-02-15,Phone,15,Resolved,5
INT_005830,CUST_000018,Complaint,2024-12-31,Phone,23,Resolved,2
INT_005831,CUST_003507,Billing Issue,2024-08-02,Social Media,36,Escalated,1
INT_005832,CUST_003890,Billing Issue,2023-12-27,Phone,52,Pending,3
INT_005833,CUST_007323,Product Question,2024-01-01,Email,29,Pending,6
INT_005834,CUST_006137,Chat Session,2024-08-13,Email,22,Resolved,5
INT_005835,CUST_002690,Complaint,2025-05-29,Email,50,Escalated,5
INT_005836,CUST_007658,Product Question,2025-03-25,Email,27,Escalated,3
INT_005837,CUST_002832,Email Inquiry,2024-11-16,Phone,7,Resolved,7
INT_005838,CUST_000169,Feedback,2023-07-22,Chat,6,Resolved,7
INT_005839,CUST_005087,Complaint,2025-05-29,Email,27,Resolved,2
INT_005840,CUST_008745,Chat Session,2024-07-28,Email,13,Resolved,8
INT_005841,CUST_003185,Billing Issue,2023-08-27,Social Media,44,Pending,5
INT_005842,CUST_002115,Billing Issue,2025-03-10,Phone,37,Resolved,1
INT_005843,CUST_002024,Email Inquiry,2023-10-30,Phone,17,Resolved,5
INT_005844,CUST_003279,Complaint,2025-05-04,Chat,40,Resolved,2
INT_005845,CUST_002372,Product Question,2024-06-25,In-Store,25,Resolved,9
INT_005846,CUST_008327,Chat Session,2024-07-16,Email,9,Resolved,10
INT_005847,CUST_002219,Chat Session,2024-04-27,Phone,10,Pending,8
INT_005848,CUST_003076,Product Question,2024-11-21,Phone,27,Closed,3
INT_005849,CUST_008860,Product Question,2023-10-27,In-Store,16,Resolved,3
INT_005850,CUST_008854,Return Request,2025-04-09,Phone,10,Resolved,4
INT_005851,CUST_004451,Return Request,2024-01-13,Chat,12,Resolved,8
INT_005852,CUST_002590,Feedback,2024-06-21,Chat,12,Pending,8
INT_005853,CUST_002692,Support Call,2025-03-22,Email,52,Resolved,7
INT_005854,CUST_002398,Complaint,2025-05-26,In-Store,23,Pending,1
INT_005855,CUST_002320,Complaint,2023-10-11,Phone,15,Pending,3
INT_005856,CUST_004844,Email Inquiry,2024-10-10,Phone,7,Resolved,6
INT_005857,CUST_001537,Email Inquiry,2025-06-22,Phone,7,Resolved,6
INT_005858,CUST_006179,Chat Session,2025-05-18,In-Store,18,Resolved,7
INT_005859,CUST_000594,Complaint,2025-06-26,Phone,36,Resolved,5
INT_005860,CUST_002234,Feedback,2024-09-30,Phone,7,Resolved,7
INT_005861,CUST_002758,Chat Session,2025-06-25,Chat,8,Resolved,10
INT_005862,CUST_008934,Email Inquiry,2024-09-02,Phone,14,Pending,5
INT_005863,CUST_000955,Email Inquiry,2024-09-11,Phone,17,Resolved,9
INT_005864,CUST_000822,Support Call,2025-03-16,Phone,35,Pending,6
INT_005865,CUST_009557,Complaint,2025-03-01,In-Store,51,Resolved,1
INT_005866,CUST_005621,Chat Session,2024-03-31,In-Store,9,Escalated,8
INT_005867,CUST_009927,Support Call,2024-09-18,Phone,40,Pending,6
INT_005868,CUST_004493,Chat Session,2023-10-23,Chat,20,Resolved,9
INT_005869,CUST_002303,Complaint,2024-07-12,Phone,20,Escalated,4
INT_005870,CUST_006293,Support Call,2024-12-11,Social Media,47,Resolved,8
INT_005871,CUST_002244,Chat Session,2025-05-24,In-Store,23,Resolved,7
INT_005872,CUST_000917,Email Inquiry,2025-04-21,Chat,12,Resolved,8
INT_005873,CUST_002847,Support Call,2023-11-04,Email,19,Resolved,4
INT_005874,CUST_007102,Return Request,2024-12-07,Email,10,Resolved,8
INT_005875,CUST_006402,Email Inquiry,2025-05-24,In-Store,8,Resolved,5
INT_005876,CUST_002268,Return Request,2024-12-22,Social Media,29,Closed,4
INT_005877,CUST_004222,Chat Session,2024-04-19,Email,8,Resolved,8
INT_005878,CUST_001452,Billing Issue,2024-12-15,Email,44,Resolved,7
INT_005879,CUST_003777,Return Request,2024-10-30,Email,10,Pending,3
INT_005880,CUST_003068,Chat Session,2025-06-26,In-Store,5,Resolved,9
INT_005881,CUST_007439,Billing Issue,2023-10-24,Chat,25,Resolved,1
INT_005882,CUST_006201,Complaint,2024-03-18,Email,48,Resolved,4
INT_005883,CUST_000877,Complaint,2024-11-01,Phone,15,Resolved,7
INT_005884,CUST_005684,Complaint,2024-11-13,Email,50,Resolved,3
INT_005885,CUST_005949,Support Call,2025-03-19,Email,53,Resolved,2
INT_005886,CUST_004877,Feedback,2023-10-25,Chat,17,Resolved,9
INT_005887,CUST_001576,Return Request,2024-12-27,Chat,13,Resolved,6
INT_005888,CUST_007873,Billing Issue,2024-05-07,Phone,53,Resolved,3
INT_005889,CUST_001412,Chat Session,2025-03-09,Chat,12,Resolved,8
INT_005890,CUST_000657,Chat Session,2024-02-22,Email,12,Resolved,7
INT_005891,CUST_005565,Billing Issue,2023-09-08,Phone,46,Resolved,8
INT_005892,CUST_007781,Complaint,2025-06-21,Phone,37,Closed,1
INT_005893,CUST_000516,Return Request,2025-01-08,Email,26,Resolved,7
INT_005894,CUST_001568,Feedback,2023-09-27,In-Store,13,Resolved,9
INT_005895,CUST_001745,Email Inquiry,2024-04-06,Email,8,Resolved,9
INT_005896,CUST_007980,Chat Session,2024-08-25,Email,9,Resolved,6
INT_005897,CUST_001429,Complaint,2024-04-09,Phone,49,Resolved,7
INT_005898,CUST_004465,Return Request,2023-10-16,Chat,16,Resolved,5
INT_005899,CUST_002459,Complaint,2024-05-16,Phone,50,Pending,4
INT_005900,CUST_000702,Complaint,2025-01-21,Chat,38,Pending,2
INT_005901,CUST_001097,Return Request,2024-10-30,Phone,15,Resolved,5
INT_005902,CUST_008962,Email Inquiry,2024-08-27,Social Media,15,Resolved,10
INT_005903,CUST_003385,Complaint,2025-05-02,Phone,52,Escalated,1
INT_005904,CUST_003238,Email Inquiry,2024-06-12,Phone,18,Resolved,8
INT_005905,CUST_002474,Product Question,2023-08-01,Email,24,Closed,5
INT_005906,CUST_000352,Billing Issue,2025-03-30,Phone,19,Resolved,7
INT_005907,CUST_009904,Email Inquiry,2025-06-18,Email,14,Closed,5
INT_005908,CUST_001861,Feedback,2025-01-03,Email,24,Resolved,8
INT_005909,CUST_000038,Product Question,2024-01-30,Email,13,Escalated,4
INT_005910,CUST_002946,Support Call,2025-03-31,Phone,26,Closed,2
INT_005911,CUST_007887,Feedback,2024-08-16,In-Store,16,Resolved,9
INT_005912,CUST_000033,Feedback,2024-05-12,Social Media,24,Closed,8
INT_005913,CUST_002384,Chat Session,2025-05-03,Phone,12,Escalated,7
INT_005914,CUST_009333,Email Inquiry,2025-01-18,Chat,20,Resolved,6
INT_005915,CUST_009248,Chat Session,2025-04-19,Chat,8,Resolved,8
INT_005916,CUST_006228,Email Inquiry,2023-12-27,Phone,6,Pending,5
INT_005917,CUST_007426,Billing Issue,2025-05-13,In-Store,44,Resolved,2
INT_005918,CUST_008176,Billing Issue,2025-05-31,Phone,37,Escalated,6
INT_005919,CUST_000262,Billing Issue,2024-11-10,In-Store,18,Pending,6
INT_005920,CUST_003948,Email Inquiry,2023-12-17,In-Store,11,Resolved,6
INT_005921,CUST_006125,Email Inquiry,2024-07-19,Chat,12,Escalated,4
INT_005922,CUST_007379,Product Question,2025-04-29,Phone,17,Resolved,7
INT_005923,CUST_002745,Support Call,2025-06-11,Phone,51,Resolved,2
INT_005924,CUST_003714,Email Inquiry,2024-08-09,Social Media,21,Pending,8
INT_005925,CUST_008464,Billing Issue,2025-05-29,In-Store,17,Pending,7
INT_005926,CUST_009006,Support Call,2024-10-30,Email,40,Resolved,6
INT_005927,CUST_005641,Return Request,2025-04-19,Phone,13,Resolved,5
INT_005928,CUST_008723,Product Question,2024-07-14,In-Store,12,Resolved,6
INT_005929,CUST_006965,Product Question,2024-09-25,Phone,19,Escalated,7
INT_005930,CUST_009544,Billing Issue,2025-02-11,In-Store,15,Resolved,4
INT_005931,CUST_007047,Feedback,2025-05-19,Social Media,8,Pending,6
INT_005932,CUST_002059,Product Question,2025-02-09,Chat,21,Resolved,8
INT_005933,CUST_008205,Chat Session,2025-02-28,Phone,13,Resolved,8
INT_005934,CUST_003971,Email Inquiry,2025-02-10,Email,11,Escalated,8
INT_005935,CUST_006455,Product Question,2024-11-14,In-Store,15,Resolved,7
INT_005936,CUST_007929,Complaint,2024-10-24,In-Store,18,Closed,1
INT_005937,CUST_001256,Billing Issue,2025-01-27,Phone,23,Resolved,3
INT_005938,CUST_000897,Support Call,2025-01-28,Chat,54,Resolved,4
INT_005939,CUST_007532,Support Call,2024-02-26,Social Media,40,Resolved,5
INT_005940,CUST_006195,Billing Issue,2024-01-04,Phone,17,Resolved,3
INT_005941,CUST_000583,Support Call,2024-07-21,Chat,51,Pending,1
INT_005942,CUST_006897,Email Inquiry,2023-08-30,Phone,7,Escalated,4
INT_005943,CUST_002051,Email Inquiry,2025-05-08,Email,23,Resolved,9
INT_005944,CUST_002743,Product Question,2025-05-25,Phone,20,Pending,2
INT_005945,CUST_007613,Email Inquiry,2025-04-22,Phone,17,Escalated,6
INT_005946,CUST_002803,Complaint,2025-04-18,Email,59,Closed,1
INT_005947,CUST_007295,Feedback,2023-09-30,Phone,8,Resolved,6
INT_005948,CUST_002227,Email Inquiry,2024-09-13,Chat,15,Resolved,9
INT_005949,CUST_007577,Email Inquiry,2024-11-11,Chat,23,Resolved,5
INT_005950,CUST_003217,Chat Session,2023-12-15,Phone,14,Resolved,9
INT_005951,CUST_005761,Email Inquiry,2024-10-13,Email,15,Pending,8
INT_005952,CUST_006920,Feedback,2025-03-18,Phone,24,Resolved,9
INT_005953,CUST_007022,Complaint,2025-02-19,Social Media,20,Resolved,4
INT_005954,CUST_006620,Complaint,2024-06-08,Phone,36,Resolved,4
INT_005955,CUST_004436,Support Call,2025-03-31,Chat,33,Resolved,4
INT_005956,CUST_007163,Product Question,2024-11-17,Email,10,Resolved,5
INT_005957,CUST_007072,Feedback,2025-02-02,Chat,9,Resolved,8
INT_005958,CUST_009360,Feedback,2024-09-14,Phone,24,Escalated,4
INT_005959,CUST_004945,Email Inquiry,2024-11-28,Email,11,Resolved,6
INT_005960,CUST_002244,Support Call,2025-05-16,Phone,51,Resolved,1
INT_005961,CUST_006118,Email Inquiry,2024-09-06,Email,23,Resolved,10
INT_005962,CUST_005519,Chat Session,2023-12-07,Chat,6,Resolved,9
INT_005963,CUST_003566,Complaint,2025-02-25,Email,52,Resolved,1
INT_005964,CUST_002862,Chat Session,2025-04-10,Phone,16,Resolved,6
INT_005965,CUST_001649,Complaint,2024-08-17,Email,44,Resolved,3
INT_005966,CUST_002603,Complaint,2024-08-17,Social Media,54,Resolved,1
INT_005967,CUST_000935,Chat Session,2025-05-26,Phone,23,Resolved,6
INT_005968,CUST_009047,Support Call,2024-12-20,Email,17,Resolved,4
INT_005969,CUST_000474,Product Question,2024-10-20,In-Store,28,Pending,3
INT_005970,CUST_006656,Support Call,2025-06-16,Phone,41,Resolved,4
INT_005971,CUST_008031,Complaint,2024-11-07,Social Media,39,Resolved,7
INT_005972,CUST_005094,Product Question,2024-07-30,Email,29,Closed,6
INT_005973,CUST_004580,Complaint,2025-05-15,Email,47,Resolved,6
INT_005974,CUST_002075,Email Inquiry,2025-05-19,In-Store,10,Escalated,8
INT_005975,CUST_002350,Product Question,2023-07-04,In-Store,22,Closed,4
INT_005976,CUST_009395,Feedback,2023-07-08,In-Store,22,Resolved,9
INT_005977,CUST_002217,Chat Session,2024-12-02,Email,20,Pending,8
INT_005978,CUST_006838,Return Request,2024-09-28,In-Store,20,Resolved,8
INT_005979,CUST_003137,Support Call,2024-07-06,Phone,41,Resolved,2
INT_005980,CUST_004421,Complaint,2025-03-24,Phone,33,Resolved,1
INT_005981,CUST_007661,Feedback,2024-11-17,Phone,21,Resolved,9
INT_005982,CUST_009835,Support Call,2023-09-20,Phone,36,Resolved,5
INT_005983,CUST_002809,Return Request,2024-03-01,Phone,18,Closed,7
INT_005984,CUST_009501,Complaint,2025-05-17,Social Media,21,Resolved,6
INT_005985,CUST_004972,Email Inquiry,2024-05-18,Phone,20,Pending,6
INT_005986,CUST_005131,Product Question,2025-04-22,Email,20,Closed,4
INT_005987,CUST_002317,Billing Issue,2025-06-11,Phone,57,Resolved,3
INT_005988,CUST_008477,Complaint,2025-05-07,Phone,29,Resolved,7
INT_005989,CUST_001132,Return Request,2025-06-28,Email,18,Resolved,3
INT_005990,CUST_009966,Product Question,2023-07-06,In-Store,20,Resolved,8
INT_005991,CUST_005524,Support Call,2025-06-29,In-Store,34,Resolved,2
INT_005992,CUST_003244,Chat Session,2024-06-06,In-Store,12,Escalated,4
INT_005993,CUST_007058,Support Call,2025-04-30,Email,56,Resolved,1
INT_005994,CUST_006896,Product Question,2024-07-06,Phone,21,Pending,8
